web_thickness[mm],前桁高さ,間隔de,fs,Fscr,M.S
1.8,317.39428571428573,1.8,68.1760356804,nan,3.44979525123
web_thickness[mm],前桁高さ,間隔de,fs,Fscr,M.S
1.8,317.39428571428573,1.8,68.1760356804,nan,3.44979525123
web_thickness[mm],前桁高さ,間隔de,fs,Fscr,M.S
1.8,317.39428571428573,1.8,68.1760356804,nan,3.44979525123
web_thickness[mm],前桁高さ,間隔de,fs,Fscr,M.S
1.8,317.39428571428573,1.8,68.1760356804,nan,3.44979525123
web_thickness[mm],前桁高さ,間隔de,fs,Fscr,M.S
1.8,317.39428571428573,1.8,68.1760356804,nan,3.44979525123
web_thickness[mm],前桁高さ,間隔de,fs,Fscr,M.S
1.8,320.0,375,68.1760356804,14.4395450286,-0.788202043658
